COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Cinturon Plegado De Chiapas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-10-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.001217,0.115284,0.0,0.010754,0.0
01-10-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.10693,1.736799,0.0,0.0,0.0
01-10-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.341283,5.927947,0.0,0.029908,0.0
01-10-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.64584,13.554917,0.0,0.037294,0.0
01-11-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.1887,8.654549,0.0,0.163141,0.0
01-11-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.022644,0.400911,0.0,0.0,0.0
01-11-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.316386,5.351704,0.0,0.054849,0.0
01-11-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.645982,14.212912,0.0,0.039585,0.0
01-12-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.188903,8.995123,0.0,0.163499,0.0
01-12-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.325456,4.646975,0.0,0.039627,0.0
01-12-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.627782,14.322044,0.0,0.056874,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.974398,0.111705,0.0,0.0,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.949687,0.367804,0.0,0.0,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.792852,0.106249,0.0,0.0,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.966095,0.136483,0.0,0.0,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.614632,13.988334,0.0,0.056391,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.21928,4.439025,0.0,0.094244,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.050709,0.910065,0.0,0.0,0.0
01-01-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.986591,0.128273,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.062898,1.13945,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.208687,4.496081,0.0,0.101971,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.991882,0.121496,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.08142,0.138951,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.99351,0.361174,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.844567,0.116404,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,1.022227,0.137526,0.0,0.0,0.0
01-02-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.6164,14.21108,0.0,0.056958,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,1.037334,0.132079,0.0,0.0,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.172767,0.14733,0.0,0.0,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.828326,0.337843,0.0,0.0,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.871686,0.116865,0.0,0.0,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,1.06,0.145332,0.0,0.0,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.619439,14.298383,0.0,0.05697,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.057434,1.041006,0.0,0.001418,0.0
01-03-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.202259,4.53931,0.0,0.106859,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.050599,0.911931,0.0,0.006272,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.202304,4.510277,0.0,0.10678,0.0
