COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-01-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.70939,0.0,0.0
01-01-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,4.895439,0.540111,0.0
01-01-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.184066,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-1,0.0,0.0,8.226833,0.000406,0.0
01-01-1979,SABINAS,,MONCLOVA-127,0.0,0.0,21.986965,0.0,0.0
01-01-1979,SABINAS,,AMULETO-1B,0.0,0.0,15.165466,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-129,0.0,0.0,4.120425,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-22,0.0,0.0,1.499323,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-26,0.0,0.0,2.013606,0.013594,0.0
01-01-1979,SABINAS,,MONCLOVA-3,0.0,0.0,18.038289,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-5,0.0,0.0,8.583467,0.0,0.0
01-01-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.064046,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-5,0.0,0.0,10.861533,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-3,0.0,0.0,17.836305,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-26,0.0,0.0,2.002375,0.013478,0.0
01-02-1979,SABINAS,,MONCLOVA-22,0.0,0.0,1.049174,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.501138,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-129,0.0,0.0,9.631164,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-127,0.0,0.0,21.099521,0.0,0.0
01-02-1979,SABINAS,,MONCLOVA-1,0.0,0.0,8.251324,0.000449,0.0
01-02-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,1.964884,0.0,0.0
01-02-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.091984,0.230701,0.0
01-02-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.653295,0.0,0.0
01-02-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,21.813199,0.0,0.0
01-02-1979,SABINAS,,AMULETO-1B,0.0,0.0,14.669762,0.0,0.0
01-02-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,8.910176,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.844639,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-129,0.0,0.0,12.369634,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-127,0.0,0.0,21.319677,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-1,0.0,0.0,8.10188,0.0,0.0
01-03-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,1.851705,0.0,0.0
01-03-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,4.065694,0.448402,0.0
01-03-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.316313,0.0,0.0
01-03-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,12.811098,0.0,0.0
01-03-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,19.389522,0.0,0.0
01-03-1979,SABINAS,,AMULETO-1B,0.0,0.0,15.47582,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-22,0.0,0.0,2.25724,0.000203,0.0
01-03-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.730904,0.036927,0.0
01-03-1979,SABINAS,,MONCLOVA-3,0.0,0.0,16.768069,0.0,0.0
01-03-1979,SABINAS,,MONCLOVA-5,0.0,0.0,7.33603,0.0,0.0
01-04-1979,SABINAS,,MONCLOVA-5,0.0,0.0,10.964428,0.0,0.0
01-04-1979,SABINAS,,MONCLOVA-3,0.0,0.0,19.068986,0.0,0.0
01-04-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.765637,0.011951,0.0
01-04-1979,SABINAS,,MONCLOVA-22,0.0,0.0,3.209795,0.00021,0.0
01-04-1979,SABINAS,,MONCLOVA-216,0.0,0.0,2.3462,0.0,0.0
01-04-1979,SABINAS,,MONCLOVA-129,0.0,0.0,13.136101,0.0,0.0
01-04-1979,SABINAS,,AMULETO-1B,0.0,0.0,15.339891,0.0,0.0
01-04-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,7.944285,0.0,0.0
01-04-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,5.998685,0.0,0.0
01-04-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,1.688712,0.186178,0.0
01-04-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.867684,0.0,0.0
01-04-1979,SABINAS,,MONCLOVA-1,0.0,0.0,4.30615,0.00021,0.0
01-04-1979,SABINAS,,MONCLOVA-127,0.0,0.0,22.985947,0.0,0.0
01-04-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,21.889384,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-5,0.0,0.0,5.726893,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-3,0.0,0.0,10.935067,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-26,0.0,0.0,2.035068,0.013797,0.0
01-05-1979,SABINAS,,MONCLOVA-22,0.0,0.0,1.951695,0.0,0.0
